question_id,option_text,position
1,ALP,1
1,Ca,2
1,CRP,3
1,Mg,4
1,TP,5
2,K 7.0mmol/L,1
2,Na 130mmol/L,2
2,LD 300U/L,3
2,血小板数 50万/pL,4
2,ヘモグロビン 15.0g/dL,5
3,第1試薬と第2試薬を逆にして測定した。,1
3,管理試料を半分の溶解液量で溶解した。,2
3,標準物質の濃度を2倍にして測定した。,3
3,使用期限が切れた試薬で測定した。,4
3,未熟な技量のスタッフが測定した。,5
4,硝子円柱,1
4,顆粒円柱,2
4,脂肪円柱,3
4,上皮円柱,4
4,赤血球円柱,5
5,蟯 虫,1
5,ズビニ鉤虫,2
5,三日熱マラリア原虫,3
5,ガンビアトリパノソーマ,4
5,エキノコックス〈多包条虫〉,5
6,回虫卵,1
6,鉤虫卵,2
6,条虫卵,3
6,鞭虫卵,4
6,横川吸虫卵,5
7,薬局で個人購入できる。,1
7,疾患の重症度を評価できる。,2
7,分子標的薬の有効性を予測できる。,3
7,ベッドサイドで結果を評価できる。,4
7,医薬品の副作用リスクを評価できる。,5
8,梅 毒,1
8,B型肝炎,2
8,C型肝炎,3
8,帯状疱疹,4
8,HIV感染症,5
9,便,1
9,喀 痰,2
9,髄 液,3
9,自然尿,4
9,鼻咽頭粘液,5
10,尿 酸,1
10,尿素窒素,2
10,アルブミン,3
10,ナトリウム,4
10,クレアチニン,5
11,心室頻拍,1
11,心房細動,2
11,心房粗動,3
11,房室ブロック,4
11,発作性上室頻拍,5
12,Lynch症候群,1
12,家族性大腸腺腫症,2
12,Li-Fraumeni症候群,3
12,von Hippel-Lindau病,4
12,遺伝性乳がん卵巣がん症候群,5
13,腎性貧血,1
13,鉄欠乏性貧血,2
13,巨赤芽球性貧血,3
13,再生不良性貧血,4
13,自己免疫性溶血性貧血,5
14,低リン血症,1
14,低カリウム血症,2
14,低カルシウム血症,3
14,低ナトリウム血症,4
14,低マグネシウム血症,5
15,総コレステロール 220mg/dL以上,1
15,トリグリセライド 150mg/dL以上,2
15,HDLコレステロール 40mg/dL未満,3
15,LDLコレステロール 140mg/dL以上,4
15,Non-HDLコレステロール 170mg/dL以上,5
16,聴力検査,1
16,筋電図検査,2
16,心音図検査,3
16,超音波検査,4
16,熱画像検査,5
17,アースの接続を確認する。,1
17,患者に力を抜いてもらう。,2
17,電動ベッドの電源を抜く。,3
17,電極と誘導コードの接続を確認する。,4
17,記録の間、患者に呼吸を止めてもらう。,5
18,連続性雑音,1
18,収縮後期雑音,2
18,全収縮期雑音,3
18,拡張期逆流性雑音,4
18,収縮期駆出性雑音,5
19,30,1
19,35,2
19,40,3
19,45,4
19,50,5
20,Boyle-Charlesの法則,1
20,Daltonの法則,2
20,Fickの法則,3
20,Henryの法則,4
20,Lambert-Beerの法則,5
21,呼吸数,1
21,酸素摂取量,2
21,肺胞換気量,3
21,分時換気量,4
21,二酸化炭素排出量,5
22,Ⅰa 線維,1
22,骨格筋細胞,2
22,7運動ニューロン,3
22,下位運動ニューロン,4
22,上位運動ニューロン,5
23,時定数は0.1秒が標準である。,1
23,T6は右側頭葉の後方に相当する。,2
23,脳死判定では測定感度は20pV/mmで記録する。,3
23,てんかん発作が起きたときは直ちに記録を中止する。,4
23,サンプリング周波数200Hzで高域は120Hzまで正しく記録できる。,5
24,組織ドプラ法,1
24,カラードプラ法,2
24,パルスドプラ法,3
24,パワードプラ法,4
24,連続波ドプラ法,5
25,正常パターン,1
25,弛緩障害パターン,2
25,偽正常化パターン,3
25,拘束パターン,4
25,判定不可能,5
26,①,1
26,②,2
26,③,3
26,④,4
26,⑤,5
27,腟,1
27,子 宮,2
27,直   腸,3
27,膀 胱,4
27,卵 巣,5
28,外耳道,1
28,鼓 膜,2
28,耳小骨,3
28,内 耳,4
28,蝸牛神経,5
29,鉄欠乏性貧血で高値になる。,1
29,基準範囲は6.2％以下である。,2
29,約2か月間の血糖値の平均を反映する。,3
29,バリンに安定的に糖が結合したものである。,4
29,透析患者の血糖コントロールの指標に適している。,5
30,静脈 ＞ 動脈 ＞ 毛細血管,1
30,静脈 ＞ 毛細血管 ＞ 動脈,2
30,動脈 ＞ 静脈 ＞ 毛細血管,3
30,動脈 ＞ 毛細血管 ＞ 静脈,4
30,毛細血管 ＞ 静脈 ＞ 動脈,5
31,A-Ⅰ　-----　LCATの活性化,1
31,B-100　-----　VLDLの分泌,2
31,B-48　-----　カイロミクロンの分泌,3
31,C-Ⅲ　-----　LPLの活性化,4
31,E　-----　LDL受容体との結合,5
32,Km 値＜＜［S］のとき1次反応に近似する。,1
32,初速度法による［S］測定は0次反応領域で行う。,2
32,Km 値が大きいほど酵素と基質の親和性は大きい。,3
32,Km値は反応速度がVmaxの1/2を示す［S］である。,4
32,終点分析法による［S］測定にはVmaxが大きい酵素を使用する。,5
33,Na＋,1
33,Ca2＋,2
33,Cl－,3
33,HCO3－,4
33,H2PO4－,5
34,妊娠糖尿病ではインスリン抵抗性が低い。,1
34,HbA1c の生成にはアマドリ転移が関与する。,2
34,腎臓の糖排泄閾値は160～180mg/dLである。,3
34,ムタロターゼはグルコースのα型からβ型への変換を行う。,4
34,SGLT2〈Sodium-glucose co-transporter 2〉は近位尿細管に存在する。,5
35,レチノール,1
35,アラキドン酸,2
35,トリグリセライド,3
35,スフィンゴミエリン,4
35,ホスファチジルエタノールアミン,5
36,Bq,1
36,C・kg－1,2
36,eV,3
36,Gy,4
36,Sv,5
37,プロリン,1
37,アルギニン,2
37,ヒスチジン,3
37,メチオニン,4
37,トリプトファン,5
38,0.15,1
38,1.5,2
38,15,3
38,150,4
38,"1,500",5
39,分子量の大きい物質ほど早く飛行する。,1
39,飛行速度は物質の電荷の影響を受けない。,2
39,測定対象物質は大気圧の空気中を飛行する。,3
39,イオン化はレーザーのパルス照射により行う。,4
39,タンデム質量分析装置は2台の質量分析部を並列に接続する。,5
40,胎盤型は耐熱性である。,1
40,骨型は成人よりも小児で高い。,2
40,小腸型は高脂肪食で上昇する。,3
40,高分子肝型は閉塞性黄疸で上昇する。,4
40,免疫グロブリン結合型は電気泳動で最も陽極側に検出される。,5
41,核,1
41,ゴルジ体,2
41,リソソーム,3
41,ミトコンドリア,4
41,ペルオキシソーム,5
42,白血病,1
42,急性肝炎,2
42,心筋梗塞,3
