question_id,option_text,position
201,ISO 9001,1
201,ISO 13485,2
201,ISO 15189,3
201,ISO 17025,4
201,ISO 22870,5
202,検体量の確認,1
202,精度管理試料の測定,2
202,精度管理成績の保存,3
202,分析装置導入前の性能評価,4
202,検体採取から測定開始までの時間の確認,5
203,カリウム,1
203,無機リン,2
203,アンモニア,3
203,グルコース,4
203,クレアチニン,5
204,尿酸,1
204,シスチン,2
204,ビリルビン,3
204,リン酸カルシウム,4
204,シュウ酸カルシウム,5
205,M1,1
205,M2,2
205,P1,3
205,P2,4
205,P3,5
206,混濁,1
206,LDの上昇,2
206,蛋白濃度の上昇,3
206,多形核球比率の上昇,4
206,髄液糖/血糖比の上昇,5
207,小形条虫,1
207,無鉤条虫,2
207,日本海裂頭条虫,3
207,マンソン裂頭条虫,4
207,クジラ複殖門条虫(大複殖門条虫),5
208,6.2,1
208,6.8,2
208,7.4,3
208,8.0,4
208,8.6,5
209,逆位,1
209,欠失,2
209,挿入,3
209,重複,4
209,転座,5
210,APC,1
210,RB1,2
210,MEN1,3
210,MSH2,4
210,BRCA1/2,5
211,119番通報,1
211,安全の確認,2
211,意識の確認,3
211,呼吸の確認,4
211,対光反射の確認,5
212,A,1
212,B,2
212,C,3
212,D,4
212,E,5
213,敗血症,1
213,尿管結石,2
213,前立腺肥大,3
213,急速進行性糸球体腎炎,4
213,全身性エリテマトーデス〈SLE〉,5
214,アンギオテンシン変換酵素〈ACE〉,1
214,CRP,2
214,IL-6,3
214,KL-6,4
214,SP-D,5
215,ビタミンA欠乏で白内障になる。,1
215,ビタミンB12欠乏で巨赤芽球性貧血になる。,2
215,ビタミンC欠乏で溶血性貧血になる。,3
215,ビタミンD欠乏で尿管結石になる。,4
215,ビタミンE欠乏でWernicke脳症になる。,5
216,下壁梗塞,1
216,側壁梗塞,2
216,前壁中隔梗塞,3
216,Brugada症候群,4
216,四肢電極の付け間違い,5
217,0.70,1
217,1.10,2
217,1.40,3
217,2.40,4
217,3.10,5
218,①,1
218,②,2
218,③,3
218,④,4
218,⑤,5
219,CO,1
219,CO2,2
219,He,3
219,N2,4
219,O2,5
220,Aα線維,1
220,Aβ線維,2
220,Aδ線維,3
220,B線維,4
220,C線維,5
221,前根,1
221,錐体路,2
221,外側毛帯,3
221,外側膝状体,4
221,視床,5
222,①,1
222,②,2
222,③,3
222,④,4
222,⑤,5
223,棘波,1
223,三相波,2
223,多棘徐波複合,3
223,14Hz陽性棘波,4
223,周期性同期性放電,5
224,α波,1
224,紡錘波,2
224,低振幅速波,3
224,丘波(徐波),4
224,瘤波(頭頂鋭波),5
225,音響陰影,1
225,鏡面現象,2
225,多重反射,3
225,レンズ効果,4
225,サイドローブ,5
226,心窩部,1
226,心尖部,2
226,傍胸骨,3
226,右胸壁,4
226,胸骨上窩,5
227,座位,1
227,圧迫法,2
227,寒冷負荷,3
227,ミルキング法,4
227,Valsalva法(呼吸法),5
228,検査直前の飲食を制限する。,1
228,測定部位の化粧を落とさせる。,2
228,検査室の湿度は50％程度に保つ。,3
228,検査室の温度は20℃程度に保つ。,4
228,15〜30分間の検査室環境への馴化を行う。,5
229,脳,1
229,肝臓,2
229,心臓,3
229,腎臓,4
229,脾臓,5
230,HbA1c,1
230,随時血糖値,2
230,空腹時血糖値,3
230,グリコアルブミン,4
230,75g経口ブドウ糖負荷後2時間血糖値,5
231,胆汁酸,1
231,アセトン,2
231,アラキドン酸,3
231,トロンボキサン,4
231,3-ヒドロキシ酪酸,5
232,解糖系　-----　ホスホエノールピルビン酸カルボキシラーゼ,1
232,糖新生　-----　アセチルCoAカルボキシラーゼ,2
232,脂肪酸合成　-----　ピルビン酸デヒドロゲナーゼ複合体,3
232,クエン酸回路　-----　ヘキソキナーゼ,4
232,コレステロール合成　-----　3-ヒドロキシ-3-メチルグルタリル〈HMG〉CoA 還元酵素,5
233,ウロビリンは腸肝循環する。,1
233,直接ビリルビンは還元されウロビリノゲンになる。,2
233,間接ビリルビンは腸内細菌により加水分解される。,3
233,δビリルビンは間接ビリルビンにアルブミンが結合している。,4
233,ヘムのポルフィリン環はヘムオキシゲナーゼによって開環される。,5
234,α-アミラーゼ,1
234,ヘキソキナーゼ,2
234,ガラクトシダーゼ,3
234,ホスホリパーゼD,4
234,ピルビン酸キナーゼ,5
235,健常人の総鉄量は約10gである。,1
235,鉄の1/3はヘモグロビンに含まれる。,2
