question_id,correct_answer
1,5
2,1
3,4
4,4
5,5
6,1
7,3
7,5
8,4
9,3
10,3
11,5
12,5
13,3
13,4
14,3
14,4
15,2
15,3
16,2
17,2
18,1
19,2
20,1
21,2
21,5
22,2
22,4
23,2
24,3
25,4
26,3
27,5
28,4
29,5
30,4
31,4
32,4
32,5
33,2
34,1
35,3
35,5
36,5
37,2
37,3
38,2
39,4
40,5
41,1
41,4
42,2
43,1
43,3
44,3
45,3
46,4
46,5
47,3
48,3
49,4
50,5
51,5
52,1
53,4
54,4
55,1
55,3
56,2
56,3
57,2
58,1
59,2
60,5
61,2
61,5
62,1
62,5
63,2
64,5
65,1
65,4
66,1
66,3
67,2
68,3
69,5
70,2
71,5
72,2
72,4
73,1
73,5
74,4
75,4
76,3
77,4
78,4
79,3
80,4
81,5
82,1
83,4
84,4
85,3
86,2
87,1
88,4
89,2
89,3
90,2
90,3
91,4
92,4
92,5
93,5
94,3
95,2
96,4
97,3
97,5
98,2
99,2
100,1
