question_id,correct_answer
401,2
402,3
403,2
404,2
404,4
405,3
406,4
407,2
408,1
408,2
409,3
410,1
411,4
412,4
413,2
413,5
414,2
415,1
416,3
417,5
418,1
418,4
419,3
420,2
421,1
422,1
422,5
423,3
424,1
425,5
426,4
426,5
427,3
428,1
429,1
430,1
431,2
431,5
432,5
433,3
433,5
434,4
434,5
435,5
436,4
437,3
438,3
439,1
439,4
440,3
441,5
442,5
443,2
444,5
445,1
446,2
446,4
447,1
448,2
449,3
450,4
451,3
452,1
453,5
454,4
455,4
456,1
457,5
458,4
459,1
459,4
460,5
461,3
462,2
463,1
464,1
465,2
465,3
466,1
467,2
468,3
469,1
469,3
470,3
471,2
472,2
473,1
473,3
474,3
475,4
476,1
476,5
477,2
478,5
479,4
480,5
481,2
482,1
483,2
484,1
484,3
485,5
486,5
487,4
488,2
488,3
488,4
489,1
489,2
490,1
491,1
492,5
493,4
494,4
495,4
496,5
497,1
497,4
498,1
499,1
500,4
501,4
502,5
503,3
504,4
505,1
506,5
507,2
508,3
509,4
510,2
510,4
511,2
512,2
512,5
513,4
514,2
515,4
516,4
517,4
518,4
519,4
520,4
521,4
522,1
523,1
524,1
525,4
526,4
527,1
528,5
529,1
529,4
530,1
530,4
531,5
532,2
533,5
534,2
534,3
535,1
536,5
537,2
537,5
538,1
539,4
540,3
541,2
541,5
542,2
543,4
543,5
544,2
544,3
545,2
546,5
547,4
548,5
549,5
550,2
551,3
552,2
552,5
553,3
554,3
555,1
555,2
556,4
557,1
557,5
558,1
558,4
559,1
559,2
560,5
561,3
562,2
563,3
564,4
565,4
566,2
566,3
567,2
567,5
568,3
568,5
569,5
570,3
571,3
572,4
573,2
573,4
574,2
575,5
576,1
577,1
578,3
578,5
579,2
580,2
581,1
581,2
582,1
583,1
583,3
584,1
585,3
586,3
587,2
588,4
589,4
590,4
591,1
592,2
593,3
593,5
594,1
594,5
595,3
596,2
597,4
598,4
599,4
600,5
