question_text,year,subject
EDTA-2K 採血管で採取した血漿を用いた場合、測定値が血清より高くなるのはどれか。,2023,臨床検査総論
パニック値として報告すべきなのはどれか。,2023,臨床検査総論
クレアチニン（酵素法）の内部精度管理図（x̄管理図）を示す。原因として最も考えられるのはどれか。,2023,臨床検査総論
尿沈渣の無染色標本（別冊No. 1Ａ）及び Sternheimer 染色標本（別冊No. 1Ｂ）を別に示す。この構造物はどれか。,2023,一般・医動物
人獣共通感染症をきたすのはどれか。,2023,一般・医動物
61 歳の女性。有機農業従事者。腹痛で来院し、虫卵検査を行った。糞便の直接塗抹標本（別冊No. 2）を別に示す。考えられるのはどれか。,2023,一般・医動物
コンパニオン検査の特徴について正しいのはどれか。 2 つ選べ。,2023,臨床検査総論
標準予防策に追加の感染予防策が必要な感染症はどれか。,2023,臨床検査総論
培養検査で検出された細菌が起炎菌である可能性の最も高い検体はどれか。,2023,臨床検査総論
臥位に比べて座位で採血したときに高値となる血清成分はどれか。,2023,臨床検査総論
WPW 症候群に合併しやすいのはどれか。,2023,生理
BRCA1/2 の病的変異が検出されるのはどれか。,2023,病理
汎血球減少症を呈するのはどれか。 2 つ選べ。,2023,血液
末期慢性腎不全で認められるのはどれか。 2 つ選べ。,2023,臨床化学
メタボリックシンドロームの診断基準に含まれるのはどれか。 2 つ選べ。,2023,臨床化学
シールドルームで行うことが望ましい検査はどれか。,2023,生理
心電図波形（別冊No. 3）を別に示す。試みるべき対処法として正しいのはどれか。,2023,生理
動脈管開存症に特徴的な心雑音はどれか。,2023,生理
フローボリューム曲線（別冊No. 4）を別に示す。 1 秒量は 1.08 L であった。1 秒率［％］に最も近いのはどれか。,2023,生理
体プレチスモグラフによる機能的残気量の測定原理はどれか。,2023,生理
呼吸商を求めるのに必要なのはどれか。 2 つ選べ。,2023,生理
運動単位を構成するのはどれか。 2 つ選べ。,2023,生理
脳波の記録法で正しいのはどれか。,2023,生理
次の文を読み下記の問いに答えよ。 78 歳の男性。心不全患者の左室流入血流速波形と計測値（別冊No. 5）を別に示す。この波形の記録に用いたのはどれか。,2023,生理
次の文を読み下記の問いに答えよ。 78 歳の男性。心不全患者の左室流入血流速波形と計測値（別冊No. 5）を別に示す。この波形はどれか。,2023,生理
頸動脈超音波検査の右総頸動脈長軸像（別冊No. 6）を別に示す。内中膜複合体厚〈IMT〉の計測方法として正しいのはどれか。,2023,生理
下腹部正中横走査と右縦走査による女性骨盤腔の超音波像（別冊No. 7）を別に示す。矢印で示すのはどれか。,2023,生理
標準純音聴力検査の骨導聴力検査において音が直接伝わるのはどれか。,2023,生理
グリコアルブミン〈GA〉について正しいのはどれか。,2023,臨床化学
血漿血糖値が高い順に並んでいるのはどれか。,2023,臨床化学
アポリポ蛋白と主要機能の組合せで誤っているのはどれか。,2023,臨床化学
Michaelis-Menten の式について正しいのはどれか。 2 つ選べ。ただし、［S］は基質濃度、Vmax は最大反応速度、Km はMichaelis 定数とする。,2023,臨床化学
血中濃度が低下するとテタニーを生じるのはどれか。,2023,臨床化学
誤っているのはどれか。,2023,臨床化学
グリセロール骨格構造を含むのはどれか。 2 つ選べ。,2023,臨床化学
実効線量を表す単位はどれか。,2023,臨床化学
塩基性アミノ酸はどれか。 2 つ選べ。,2023,臨床化学
"溶液A を 30 倍希釈して吸光度を測定したとき、0.300 であった。この物質の測定波長におけるモル吸光係数を 6,000 L・mol－1・cm－1 とすると、溶液A の濃度は何mmol/L か。ただし、使用した光路長は 1.0 cm とする。",2023,臨床化学
MALDI-TOF-MS による物質測定で正しいのはどれか。,2023,臨床化学
ALP アイソザイムについて誤っているのはどれか。,2023,臨床化学
二重の膜構造を有するのはどれか。 2 つ選べ。,2023,臨床化学
