question_text,year,subject
臨床検査室の品質と能力に関する国際規格はどれか。,2022(第68回),臨床検査総論
分析前プロセスの品質管理はどれか。2つ選べ。,2022(第68回),臨床検査総論
採血した全血検体をそのまま室温で一晩放置した。値の低下が予想されるのはどれか。,2022(第68回),臨床化学
尿沈渣の無染色標本(別冊No.1)を別に示す。この構造物の成分はどれか。,2022(第68回),一般・医動物学
Miller&Jones(喀痰の肉眼的品質評価)分類で、膿性部分が1/2の痰の分類はどれか。,2022(第68回),一般・医動物学
化膿性髄膜炎を疑う髄液所見として誤っているのはどれか。,2022(第68回),一般・医動物学
幼虫移行症をきたすのはどれか。,2022(第68回),一般・医動物学
マラリア患者の血液塗抹標本のGiemsa染色に適するバッファーのpHはどれか。,2022(第68回),一般・医動物学
慢性骨髄性白血病で高頻度にみられる染色体の構造異常はどれか。,2022(第68回),血液学
遺伝性乳がん卵巣がん症候群〈HBOC〉の原因遺伝子はどれか。,2022(第68回),病理学
一次救命措置において、胸骨圧迫前に行うべきこととして誤っているのはどれか。,2022(第68回),臨床検査総論
B型急性肝炎におけるHBs抗原、HBs抗体、HBe抗原、HBe抗体、HBc抗体の推移(別冊No.2)を別に示す。HBc抗体はどれか。,2022(第68回),免疫学
腎前性急性腎不全の原因になるのはどれか。,2022(第68回),臨床検査総論
サルコイドーシスの診断に最も有用なのはどれか。,2022(第68回),免疫学
ビタミン欠乏症について正しいのはどれか。,2022(第68回),臨床化学
心電図(別冊No.3)を別に示す。正しいのはどれか。,2022(第68回),生理学
肺活量2.00L、1回換気量0.50L、予備呼気量0.80L、最大吸気量1.20L、機能的残気量1.90Lであった。残気量[L]はどれか。,2022(第68回),生理学
クロージングボリューム測定における単一窒素呼出曲線(別冊No.4)を別に示す。クロージングボリュームはどれか。,2022(第68回),生理学
1回呼吸法による肺拡散能力測定で濃度を測定するのはどれか。2つ選べ。,2022(第68回),生理学
自律神経の線維はどれか。2つ選べ。,2022(第68回),生理学
体性感覚の伝導路を含むのはどれか。,2022(第68回),生理学
正中神経における運動神経伝導検査の模式的な記録波形(別冊No.5)を別に示す。軸索変性のパターンはどれか。なお、図中の破線は正常波形を示す。,2022(第68回),生理学
64歳の男性。家族に｢最近ぼーっとしていることが多い｣と指摘され受診した。脳波(別冊No.6)を別に示す。所見はどれか。,2022(第68回),生理学
睡眠ステージ1から睡眠ステージ2に移行したと判断できる脳波の波形はどれか。,2022(第68回),生理学
心臓超音波像(別冊No.7)を別に示す。矢印で示すアーチファクトの原因はどれか。,2022(第68回),生理学
心臓超音波像(別冊No.8)を別に示す。この像を描出する際の探触子の位置はどれか。,2022(第68回),生理学
深部静脈血栓症に対する下肢静脈超音波検査で実施しないのはどれか。,2022(第68回),生理学
サーモグラフィ検査の注意点について誤っているのはどれか。,2022(第68回),生理学
糖新生を行う臓器はどれか。2つ選べ。,2022(第68回),臨床化学
糖尿病の診断で糖尿病型の判定に用いられないのはどれか。,2022(第68回),臨床化学
ケトン体はどれか。2つ選べ。,2022(第68回),臨床化学
代謝系と調節酵素の組合せで正しいのはどれか。,2022(第68回),臨床化学
ビリルビン代謝について正しいのはどれか。,2022(第68回),臨床化学
酵素法によるカルシウム測定に用いられるのはどれか。2つ選べ。,2022(第68回),臨床化学
体内の鉄代謝について正しいのはどれか。,2022(第68回),臨床化学
芳香族アミノ酸はどれか。,2022(第68回),臨床化学
尿素回路について正しいのはどれか。,2022(第68回),臨床化学
生化学自動分析装置の検出部に後分光方式を用いることで可能となるのはどれか。,2022(第68回),臨床化学
血清ナトリウムイオンの測定に使用される電極はどれか。2つ選べ。,2022(第68回),臨床化学
血清中の総コレステロール値が225mg/dL、HDL-コレステロール値が45mg/dL、トリグリセライド値が250mg/dLであった。Friedewald式によるLDL-コレステロール値はどれか。,2022(第68回),臨床化学
DNAを含む細胞内小器官はどれか。,2022(第68回),臨床化学
肝合成能の評価に用いられるのはどれか。,2022(第68回),臨床化学
消化管から分泌されないのはどれか。,2022(第68回),臨床化学
Michaelis 定数〈Km〉について正しいのはどれか。,2022(第68回),臨床化学
褐色萎縮で沈着するのはどれか。,2022(第68回),病理学
術中迅速診断における標本作製で使用するのはどれか。,2022(第68回),病理学
腎組織の未固定凍結切片を用いた免疫組織化学染色(別冊No.9)を別に示す。この染色法について正しいのはどれか。,2022(第68回),病理学
電子顕微鏡標本作製で透過型と走査型に共通するのはどれか。,2022(第68回),病理学
後腹膜臓器はどれか。2つ選べ。,2022(第68回),病理学
ヒトの生殖細胞の分裂について誤っているのはどれか。,2022(第68回),病理学
アポトーシスについて正しいのはどれか。2つ選べ。,2022(第68回),病理学
病理組織学的検査で推奨される固定液はどれか。,2022(第68回),病理学
中皮に覆われている腔はどれか。2つ選べ。,2022(第68回),病理学
虚血性心疾患はどれか。2つ選べ。,2022(第68回),病理学
T細胞性リンパ腫はどれか。,2022(第68回),病理学
膠原線維の染色に用いられる染色法はどれか。2つ選べ。,2022(第68回),病理学
病理解剖の感染対策で誤っているのはどれか。,2022(第68回),病理学
子宮頸部擦過細胞診検査のPapanicolaou染色標本(別冊No.10)を別に示す。この細胞に関連の深い病原体はどれか。,2022(第68回),病理学
末血で過分葉核好中球がみられる場合に検査すべき項目はどれか。,2022(第68回),血液学
疾患と診断に用いる細胞表面マーカーとの組合せで誤っているのはどれか。,2022(第68回),血液学
クロスミキシング試験の結果(別冊No.11)を別に示す。考えられるのはどれか。,2022(第68回),血液学
Bリンパ球で正しいのはどれか。2つ選べ。,2022(第68回),血液学
血管拡張作用をもつのはどれか。,2022(第68回),血液学
末血のMay-Giemsa染色標本(別冊No.12Ａ)及びペルオキシダーゼ染色標本(別冊No.12Ｂ)を別に示す。考えられるのはどれか。,2022(第68回),血液学
健常者の末血のニューメチレンブルー染色標本(別冊No.13)を別に示す。矢印が示す細胞について正しいのはどれか。,2022(第68回),血液学
活性化プロテインCが失活させるのはどれか。2つ選べ。,2022(第68回),血液学
55歳の男性。リンパ節腫大と肝腫大のほか、高カルシウム血症と血清LD高値を認める。末血のMay-Giemsa染色標本(別冊No.14)を別に示す。この疾患に関係があるのはどれか。,2022(第68回),血液学
鞭毛を有するのはどれか。,2022(第68回),微生物学
染色法と染色液の組合せで正しいのはどれか。,2022(第68回),微生物学
β-ラクタム系抗菌薬でないのはどれか。,2022(第68回),微生物学
感染経路が空気感染である病原体はどれか。2つ選べ。,2022(第68回),微生物学
微生物の分類について正しいのはどれか。2つ選べ。,2022(第68回),微生物学
新生児髄膜炎が疑われた患児の髄液のGram染色標本(別冊No.15)を別に示す。最も考えられる菌種はどれか。,2022(第68回),微生物学
喀痰のGram染色標本(別冊No.16)を別に示す。顕微鏡による観察で、図中の細胞Aを48個/100倍1視野、細胞Bを5個/100倍1視野認めた。該当するGeckler分類はどれか。,2022(第68回),微生物学
Bacteroides fragilisについて正しいのはどれか。,2022(第68回),微生物学
選択分離培地と目的菌の組合せで正しいのはどれか。,2022(第68回),微生物学
腸管感染を起こすのはどれか。2つ選べ。,2022(第68回),微生物学
IPA反応陽性を示すのはどれか。,2022(第68回),微生物学
IgEについて正しいのはどれか。,2022(第68回),免疫学
補体のC1成分について正しいのはどれか。,2022(第68回),免疫学
血清中にMタンパクが認められる疾患はどれか。,2022(第68回),免疫学
免疫担当細胞について正しいのはどれか。,2022(第68回),免疫学
CRP産生に関与するサイトカインはどれか。,2022(第68回),免疫学
臨床的意義のある不規則抗体はどれか。,2022(第68回),免疫学
交差適合試験の主試験が陽性になる可能性が高いのはどれか。,2022(第68回),免疫学
カラム凝集法の反応像(別冊No.17)を別に示す。正しいのはどれか。,2022(第68回),免疫学
CH50が高値を示す疾患はどれか。,2022(第68回),免疫学
輸血用血液製剤について誤っているのはどれか。,2022(第68回),免疫学
輸血副反応と原因の組合せで正しいのはどれか。,2022(第68回),免疫学
院内の医療安全を確保するための措置に含まれないのはどれか。,2022(第68回),公衆衛生学
健康増進法に基づくがん検診で対象年齢が50歳以上であるのはどれか。,2022(第68回),公衆衛生学
2019年の我が国の人口動態統計で10年前と比較して上昇しているのはどれか。,2022(第68回),公衆衛生学
就学時健康診断に含まれないのはどれか。,2022(第68回),公衆衛生学
業務上疾病の原因で最も多いのはどれか。,2022(第68回),公衆衛生学
超音波の伝搬速度が最も速いのはどれか。,2022(第68回),生理学
電圧利得が20倍の増幅器を3つ直列につないだ増幅器の利得[dB]はどれか。ただし、log2=0.3とする。,2022(第68回),医用工学概論
アナログ信号をデジタル信号へ変換するとき、サンプル値の最大値と最小値の間を一定の幅で分割することを示すのはどれか。,2022(第68回),医用工学概論
医療情報システムで臨床検査項目分類コードとして用いられるのはどれか。,2022(第68回),医用工学概論
波長220nmの光の分類はどれか。,2022(第68回),医用工学概論
"200mL、20℃の水を700Wの電子レンジで1分間加熱した。加えられたエネルギーがすべて水の加熱に使われたとき、水のおよその温度[℃]はどれか。ただし、水の比熱は4,200J/(kg・℃)とする。",2022(第68回),医用工学概論
内部精度管理法で管理血清を用いるのはどれか。2つ選べ。,2022(第68回),臨床検査総論
標準予防策において感染性を考慮しない体液・分泌物はどれか。,2022(第68回),臨床検査総論
尿沈渣の無染色標本(別冊No.1Ａ)及びSternheimer染色標本(別冊No.1Ｂ)を別に示す。 矢印が示す構造物はどれか。,2022(第68回),一般・医動物学
便潜血の免疫学的検査法で正しいのはどれか。2つ選べ。,2022(第68回),一般・医動物学
関節液の異常所見はどれか。,2022(第68回),一般・医動物学
中間宿主を有するのはどれか。,2022(第68回),一般・医動物学
致死率が最も高いのはどれか。,2022(第68回),一般・医動物学
染色体分染法でグアニン(G)-シトシン(C)塩基対優位部が濃染するのはどれか。,2022(第68回),病理学
アミノ酸を結合してリボソームに運搬する働きをするのはどれか。,2022(第68回),病理学
PCR法において核酸増幅産物の特異性を高める方法として正しいのはどれか。,2022(第68回),病理学
末梢神経障害を呈するのはどれか。,2022(第68回),臨床検査総論
染色体検査が診断に有用なのはどれか。,2022(第68回),臨床検査総論
ROC曲線の縦軸と横軸の組合せで正しいのはどれか。,2022(第68回),臨床検査総論
関節リウマチの診断に用いられるのはどれか。,2022(第68回),免疫学
分子標的薬投与の決定にERBB2(HER2)増幅の検索を行うのはどれか。,2022(第68回),病理学
心周期現象の圧曲線模式図(別冊No.2)を別に示す。大動脈圧曲線はどれか。,2022(第68回),生理学
四肢誘導心電図(別冊No.3)を別に示す。正しいのはどれか。,2022(第68回),生理学
ホルター心電図検査で正しいのはどれか。2つ選べ。,2022(第68回),生理学
最大呼気曲線(別冊No.4)を別に示す。考えられるのはどれか。,2022(第68回),生理学
動脈血ガス分析の所見を示す。 pH：7.36、PaO2：58Torr、PaCO2：56Torr、HCO3-：31mEq/L 誤っているのはどれか。,2022(第68回),生理学
神経線維における活動電位とその伝導について誤っているのはどれか。,2022(第68回),生理学
誘発電位(別冊No.5)を別に示す。この記録はどれか。,2022(第68回),生理学
針筋電図検査において急性脱神経でみられるのはどれか。,2022(第68回),生理学
心臓超音波カラードプラ法の四腔像(別冊No.6)を別に示す。疾患はどれか。,2022(第68回),生理学
上腹部超音波像(別冊No.7)を別に示す。走査法はどれか。,2022(第68回),生理学
下腹部正中横走査による女性の骨盤腔の超音波像(別冊No.8)を別に示す。矢印で示すのはどれか。,2022(第68回),生理学
